work_key,title,authors,first_publish_year,subjects,description,cover_url,source
/works/OL21036633W,What Are You Reading?,Pavithra Narayanan,2012,"Publishers and publishing, india; India, intellectual life; Book industries and trade; English literature; History and criticism; Indic literature; Livres; Industrie; Littérature anglaise; Histoire et critique; Littérature de l'Inde; LANGUAGE ARTS & DISCIPLINES; Journalism",,https://covers.openlibrary.org/b/id/13540386-M.jpg,subject:indic_literature
/works/OL21314058W,Literary and Religious Practices in Medieval and Early Modern India,"Raziuddin Aquil, David L. Curley",2016,"Education, curricula, great britain; Education, preschool; Curriculum planning; Indic literature; History; Religion; Religious life and customs; Littérature de l'Inde; Histoire; Comparative Religion; India & South Asia",,https://covers.openlibrary.org/b/id/13689314-M.jpg,subject:indic_literature
/works/OL21306064W,Literature and Nationalist Ideology,Hans Harder,2010,"Indic literature, history and criticism; Nationalism, india; India, historiography; Indic literature; Congresses; History and criticism; Historiography; Nationalism; History",Contributed papers presented at a conference.,,subject:indic_literature
/works/OL16586151W,"Writing India, writing English",G. J. V. Prasad,2011,"Indic literature (English); History and criticism; Indic literature, history and criticism; English literature, history and criticism; Literatur; LITERARY CRITICISM; European; English, Irish, Scottish, Welsh; Indic literature","""The essays in this book look at the interaction between English and other Indian languages and focus on the pressure of languages on writers and on each other. Divided into two parts, the first part of the book deals with the pressure that English language has exerted, and continues to exert, in India and our ideas of connectedness as a nation in the ways in which we deal with this pressure. The essays emphasise on the emergence of the hybrid language in the Tamil cultural world because of the presence of English (and Hindi); on the politics of 'anthologisation'; and how Karnad's Tughlaq deals with the idea of the nation, looking at its historical location. The second part of the book focuses on Indian English literature and deals with how it interacts with the idea of representing the Indian nation, sometimes obsessively, seen both in poetry and novels. The book argues that the writer's location is crucial to the world of imagination, whether in the novel, poetry or drama. The world is inflected by the location of the author, and the struggle between the language dominant in that location and English is part of the creative tension that provides energy and uniqueness to writing.""--Publisher's description.",https://covers.openlibrary.org/b/id/13540377-M.jpg,subject:indic_literature
/works/OL18970358W,Blood into ink,"Miriam Cooke, Roshni Rustomji-Kerns",1994,"Literary collections; Middle Eastern literature; Translations into English; Peace; Women authors; Indic literature (English); Indic literature; War; War, literary collections; Indic literature, women authors; LANGUAGE ARTS & DISCIPLINES; Composition & Creative Writing; Rhetoric; REFERENCE; Writing Skills",,https://covers.openlibrary.org/b/id/4708809-M.jpg,subject:indic_literature
/works/OL21325833W,Languages and Literary Cultures in Hyderabad,Kousar J. Azam,2017,"Hyderabad (india); Indic literature, history and criticism; India, intellectual life; Indic literature; Congresses; History and criticism; Intellectual life; In literature; LITERARY CRITICISM; Asian; Indic; Literature",,,subject:indic_literature
/works/OL18323108W,The heavenly exploits,"Joel Tatelman, Shyamílaka, Vara·ruchi, and Íshvara·datta Shúdraka, Csaba Dezsö, Somadeva Vasudeva",2005,"Drama; Pimps; Sex customs; Translations into English; Sanskrit farces; Sanskrit Erotic drama; Soliloquy; Sanskrit drama; Drama texts: classical, early & medieval; Literary Criticism; Literature - Classics / Criticism; Ancient, Classical & Medieval; General; Medieval; Sanskrit literature; Tales; Tripiṭaka; Sanskrit Buddhist stories; Sanskrit Epic poetry; Kārttikeya (Hindu deity); Poetry; Religion and politics; Nyaya; Sanskrit Love poetry; Sanskrit fiction; Sanskrit Satire; 18.64 ancient Indian languages and/or literature; Satire; Spotdichten; Sanskrit (langue); Traductions anglaises; Satire sanscrite; Jaina ethics; Fiction; Sanskrit; Sanskrit Epic literature; Mahabharata (anoniem); Poésie épique sanscrite; Übersetzung; Komödie; Erotik; Buddhism; Future life; Jainism; Indic literature; Indic literature, history and criticism; Fiction, mystery & detective, general; Valmiki, ramayana; Tales, india; Sanskrit poetry; Drama (dramatic works by one author); Epic literature; Mahabharata; Love po","""This court epic describes events leading up to but not including the birth of Kumara (also known as Skanda or Karttikeya), the war god destined to defeat the demon Taraka."" ""The gods attempt to deploy Kama, the Indian Cupid, to set the ascetic supreme deity Shiva on fire with love for Uma (also known as Parvati), the daughter of the god of the Himalayan mountain range. Kama's mission fails, and Shiva, roused from his meditative trance, turns his flaming third eye on the love god, burning him to ashes. Next, Parvati herself turns to intense asceticism in order to win spiritual power and thereby the husband for whom she longs. She succeeds, and the climax of the poem is Shiva and Parvati's marriage and cosmic lovemaking, and Kumara's divine conception.""--Jacket.",https://covers.openlibrary.org/b/id/5370768-M.jpg,subject:indic_literature
/works/OL8006718W,Masterworks of Asian Literature in Comparative Perspective ; A Guide for Teaching,Barbara Stoler Miller,1996,Oriental literature; Translations into English; Comparative literature; Chinese literature; History and criticism; Japanese literature; Indic literature; In literature; Literature; Geschichte; Literatur; Chinesisch; Japanisch,,https://covers.openlibrary.org/b/id/12177281-M.jpg,subject:indic_literature
/works/OL25324183W,Nationalism in India,"Debajyoti Biswas, John Ryan",2021,"Asia, history; Nationalism; Nationalism in literature; Indic literature; History and criticism; Nationalisme dans la littérature; Littérature de l'Inde; Histoire et critique; SOCIAL SCIENCE / Ethnic Studies / General",,https://covers.openlibrary.org/b/id/12418757-M.jpg,subject:indic_literature
/works/OL26768527W,Maternal Fictions,Indrani Karmakar,2022,Motherhood in literature; Indic literature (English); History and criticism; Indic literature; Postcolonialism in literature; Feminism and literature; Maternité dans la littérature; Littérature de l'Inde (anglaise); Histoire et critique; Littérature de l'Inde; Postcolonialisme dans la littérature; LITERARY CRITICISM / Feminist; LITERARY CRITICISM / Asian / Indic; SOCIAL SCIENCE / Women's Studies,,,subject:indic_literature
/works/OL26510868W,Postcolonial Indian City,Dibyakusum Ray,2022,Cities and towns in literature; Indic literature; History and criticism; Public spaces in literature; Postcolonialism in literature; Littérature de l'Inde; Histoire et critique; Espaces publics dans la littérature; Postcolonialisme dans la littérature; LITERARY CRITICISM; Asian; Indic,,https://covers.openlibrary.org/b/id/14759641-M.jpg,subject:indic_literature
/works/OL27806342W,City Speaks,"Subashish Bhattacharjee, Goutam Karmakar",2022,Cities and towns in literature; Indic literature; History and criticism; In literature; SOCIAL SCIENCE / Sociology / Urban; Literature,,,subject:indic_literature
/works/OL26766133W,Literatures from Northeast India,K. M. Baharul Islam,2022,Indic literature; History and criticism; Littérature de l'Inde; Histoire et critique; SOCIAL SCIENCE / General,,,subject:indic_literature
/works/OL21243168W,Indian Literature and Popular Cinema,Heidi R. M. Pauwels,2007,"Motion pictures, india; Indic literature",,,subject:indic_literature
/works/OL18709581W,Dalits and their religion(s),D. Murali Manohar,2010,Dalits; Religion in literature; Dalits in literature; Indic literature; Dalit authors; History and criticism; Christian converts from Hinduism,,https://covers.openlibrary.org/b/id/13896328-M.jpg,subject:indic_literature
/works/OL18065608W,The history of Indian literature,"Weber, Albrecht",1882,Indic literature; Sanskrit literature; History and criticism; Vedic literature,,https://covers.openlibrary.org/b/id/6357759-M.jpg,subject:indic_literature
/works/OL16679121W,Multicultural literature in India,N. D. R. Chandra,2009,Indic literature; Multiculturalism in literature; History and criticism,,,subject:indic_literature
/works/OL335536W,A stronger climate,Ruth Prawer Jhabvala,1968,Social life and customs; Fiction; Manners and customs; Indic literature; English fiction; Children's fiction,,https://covers.openlibrary.org/b/id/7000548-M.jpg,subject:indic_literature
/works/OL20955189W,Temple bells,A. J. Appasamy,1930,Hinduism; Sacred books; Texts; Indic Religious literature; Indic literature; Translations into English; English literature; Bio-bibliography,,,subject:indic_literature
/works/OL18561510W,"Dalit assertion in society, history, and literature","Ahmad, Imtiaz, Shashi Bhushan Upadhyay",2007,Dalit authors; History and criticism; Dalits; Congresses; Dalits in literature; Social conditions; Indic literature; History,"Papers presented at a national seminar held at Bodh Gaya in 2004 organized by Dalit Resource Centre, Deshkal Society (Gaya, Bihar).",,subject:indic_literature
/works/OL18569665W,Sahiti-saurabha,"Jānamaddi Hanumacchāstri, P. Chenna Reddy",2010,Indic literature; Civilization; Culture in literature; Literature and society; History and criticism,"Jānamaddi Hanumacchāstri, b. 1926, Telugu author and teacher of Andhra Pradesh, India; contributed articles.",,subject:indic_literature
/works/OL1791174W,Coolitude,Marina Carter,2002,"Alien labor, East Indian; East Indian Alien labor; East Indian diaspora; East Indians; Foreign countries; History and criticism; Indic literature; Interviews; Relocation; East Indian Foreign workers; India, social life and customs; Plantation life; Contract labor; Indic literature (English); General; Asian; English & college success -> english -> literature",,https://covers.openlibrary.org/b/id/4321178-M.jpg,subject:indic_literature
/works/OL8067024W,Wisdom of India,"Lin, Yutang",1949,Indic literature; Translations into English; English literature; Translations from Indic; 08.10 non-western philosophy; Filosofie,,https://covers.openlibrary.org/b/id/10994933-M.jpg,subject:indic_literature
/works/OL18572033W,Gender issues,,2010,"Indic literature; Women authors; History and criticism; Feminism in literature; Women; Indic literature (English); Indic literature, history and criticism; Indic literature, women authors; Women, india; Women, social conditions; Social conditions",,,subject:indic_literature
/works/OL4261528W,An encyclopedia of Indian literature,Gaṅgā Rām Garg,1982,Apabhraṃśa literature; Dictionaries; Encyclopedias; History and criticism; Indic literature; Pali literature; Prakrit literatire; Sanskrit literature,"Biobibliography of Sanskrit, Pali, Prakrit, and Apabhraṁśa.",,subject:indic_literature
/works/OL1057161W,A story-teller's world,Rasipuram Krishnaswamy Narayan,1989,"Essays; India; Malgudi; Rural; Fiction, short stories (single author); Indic literature","The essential R.K. Narayan. Forty essays, travel pieces, character sketches and short stories from India's greatest living novelist, the majority collected here for the first time.

The three sections of the book: 'The Fiction-Writer', 'Short Essays' and 'Malgudi Sketches and Stories' provide a rare glimpse into R.K. Narayan's beginnings as a writer and his evolution into a world-renowned novelist. More importantly, each essay and story is in itself a triumph of Narayan's genius as a close and perceptive observer of the small and ordinary things of life.

Finally, taken together, the pieces in this collection (on crowds, films, restaurants, clothes, cats, the English language and school-children among others) give the reader fresh insights into the distinctive aspects of the Indian South which finally achieved immortality in the fictional world of Malgudi.",https://covers.openlibrary.org/b/id/13310666-M.jpg,subject:indic_literature
/works/OL314115W,Indian literature,Nagendra,1959,Indic literature; History and criticism,Contributed articles; updated version of an earlier edition.,,subject:indic_literature
/works/OL10327846W,A history of Indian literature,Moritz Winternitz,1963,History and criticism; Indic literature; Sanskrit literature; Pali literature; Jaina literature; Prakrit literature,,,subject:indic_literature
/works/OL8103652W,Imaginary Maps,Mahasweta Devi,1994,Bengali Autors; History and criticism; India in literature; Indic Short stories; Indic literature; Interviews; Translations into English,,https://covers.openlibrary.org/b/id/268161-M.jpg,subject:indic_literature
/works/OL2313851W,After amnesia,G. N. Devy,1992,History and criticism; Indic literature; Criticism; History; Indic literature (English); Intellectual life,,https://covers.openlibrary.org/b/id/3929138-M.jpg,subject:indic_literature
/works/OL9081981W,History of Indian Literature,Maurice Winternitz,1981,Sanskrit literature; History and criticism; Indic literature; Buddhist literature; Jaina literature; Pali literature; Literature; Sanskrit; History; Pali; Buddhism,,https://covers.openlibrary.org/b/id/4883765-M.jpg,subject:indic_literature
/works/OL6997776W,A short history of Indian literature,Ernest Philip Horrwitz,1907,History and criticism; Indic literature; Sanskrit literature,,https://covers.openlibrary.org/b/id/5879843-M.jpg,subject:indic_literature
/works/OL9353142W,Indian Literature and Popular Cinema,Heidi Pauwels,2007,"Motion pictures; Indic literature; Film and video adaptations; Motion pictures, india; Film adaptations; Cinéma; Littérature de l'Inde; Adaptations cinématographiques; Motion picture industry",,https://covers.openlibrary.org/b/id/5043459-M.jpg,subject:indic_literature
/works/OL2597351W,By My Sword and Shield,E. Jaiwant Paul,1995,"Weapons; Armor; Swords; Indic literature; History; Translations into English; Indic literature (English); Literary collections; Urdu literature; Politics and government; Pakistan movement; Muslims; Political activity; India-Pakistan Conflict, 1947-1949; Literature and the conflict; Sources; Indic literature, translations into english; India, history, 1947-",Literary collections on the theme of the India's 1947 partition.,https://covers.openlibrary.org/b/id/4890211-M.jpg,subject:indic_literature
/works/OL11979129W,The ancient language and literature of India,Henry Buckingham Witton,1885,"Languages; Indic literature; Sanskrit language; Langues de l'Inde; Indic languages; Discours, essais, conférences; Sanscrit (Langue); Littérature de l'Inde",,https://covers.openlibrary.org/b/id/6526650-M.jpg,subject:indic_literature
/works/OL11627W,A brief introduction to a comparative study of Greek and Indian poetics and aesthetics,Ramendra Kumar Sen,1976,"Aesthetics; Comparative Literature; Greek and Indic; Greek literature; History and criticism; Indic and Greek; Indic literature; Literature; Literature, Comparative; Poetics",,,subject:indic_literature
/works/OL335194W,Les Littératures de l'Inde,"Renou, Louis",1951,Indic literature; History and criticism,,,subject:indic_literature
/works/OL32812522W,Sekai bungaku sōgō mokuroku,Michiaki Kawato,2012,German literature; Bibliography; Translations into Japanese; Scandinavian literature; European literature; East European literature; Chinese literature; Indic literature; Arabian nights; American literature; English literature; French literature,,,subject:indic_literature
/works/OL318167W,Pacchamī te Bhāratī ālocanā de sidhānta,Piārā Siṅgha Bhogala,1970,Criticism; Panjabi literature; History and criticism; Indic literature,"Principles of Western and Indic criticism: Western criticism, Panjabi criticism, Indic criticism.",,subject:indic_literature
/works/OL356558W,Bhāratavarshīya prācīna caritrakośa,Siddheshvarshastri Vishnu Chitrav,1932,Biography; Dictionaries; Indic literature,Biographical dictionary of ancient India.,,subject:indic_literature
/works/OL351605W,Raushnāʾī,Sajjād Ẓahīr,1956,History; Societies; Indic literature; Intellectual life; Urdu literature; Literature; Literary societies; All-India Progressive Writers Association,"History of the formative years of Anjuman-i Taraqqī Pasand Muṣannifīn (India), 1935-1947, and the progressivist literary movement in Indic literatures launched by it.",,subject:indic_literature
/works/OL322434W,Translation as discovery and other essays on Indian literature in English translation,Sujit Mukherjee,1981,Languages; Translations into English; Indic literature; Translating and interpreting; History and criticism; Translating into English; English literature,,https://covers.openlibrary.org/b/id/13723635-M.jpg,subject:indic_literature
/works/OL361035W,Cast me out if you will,Lalithambika Antharjanam,1998,"History and criticism; Translations into English; Indic literature (English); Indic literature; Women in literature; Fiction, short stories (single author)",,https://covers.openlibrary.org/b/id/784445-M.jpg,subject:indic_literature
/works/OL27086638W,Indian Literatures in Diaspora,Sireesha Telugu,2022,Indic literature; History and criticism; Emigration and immigration in literature; East Indian diaspora in literature; Identity (Psychology) in literature; Indic literature (English),,,subject:indic_literature
/works/OL38602177W,Arja,Carl Beyer,1872,Adaptations; Mahabharata; Persian literature; Translations into German; Indic literature; Mahābhārata,,,subject:indic_literature
/works/OL21154270W,"Writer, the Reader and the State",Mini Chandran,2017,Indic literature; Censorship; Authors and readers; Indic literature (English); History; Intellectual freedom; Books and reading,,,subject:indic_literature
/works/OL21637544W,Reading India Now,Ulka Anjaria,2019,"Indic literature, history and criticism; Popular culture, india; Indic literature; History and criticism; Popular culture; History",,,subject:indic_literature
/works/OL21659058W,Visceral Logics of Decolonization,Neetu Khanna,2020,Indo-iranian philology; History; Indic literature; History and criticism; Politics and literature; Feminism and literature; Literary movements; All-India Progressive Writers Association,,,subject:indic_literature
/works/OL38465806W,History of Indian literature,M. Winternitz,1962,Sanskrit literature; History and criticism; Indic literature; Pali literature; Jaina literature,,,subject:indic_literature
/works/OL6129559W,Catalogue of the Library of the India Office,Great Britain. India Office. Library.,1888,Bibliography; Indic literature; Catalogs; Printing; History,,https://covers.openlibrary.org/b/id/5924137-M.jpg,subject:indic_literature
/works/OL15301820W,Bhāratīya sāhitya evaṃ kalā meṃ Śrīrādhā,Mīrā Dvivedī,2009,Indic literature; Rādhā (Hindu deity); Art; History and criticism; Rādhā (Hindu deity) in literature; In literature,"On the depiction of Rādhā, Hindu deity, in Indic art and literature.",,subject:indic_literature
/works/OL18582063W,Kaṭalil oru tuḷi,Intirā Pārttacārati,2009,"Tamil literature; Intirā Pārttacārati,; Theater; Indic literature; History and criticism; Political and social views",Articles chiefly on Tamil literature and theater; includes articles on Indic literature and socio-political issues.,,subject:indic_literature
/works/OL18632862W,Dalit literature,National Seminar on Dalit Literature (2009 Govt. College Ateli),2009,Indic literature; Dalit authors; History and criticism; Congresses; Dalits in literature,Transcript of papers presented at a National Seminar on Dalit Literature held at Govt. College Ateli in March 2009.,,subject:indic_literature
/works/OL16305662W,Encyclopaedia of Indian literature,Mastarāma Kapūra,2006,Indic literature; Encyclopedias; Socialists; Biography; Social reformers; Nationalists; Littérature de l'Inde; Encyclopédies,"On the life and work of Narendra Deva, 1889-1956, socialist leader, social reformer, and freedom fighter.",https://covers.openlibrary.org/b/id/5327986-M.jpg,subject:indic_literature
/works/OL18566707W,Bhāratīya sāhitya para Mahābhārata kā prabhāva,Candrakānta Bāṇdivaḍekara,2009,Indic literature; History and criticism; Influence; Mahābhārata,Contributed articles on the influence of Mahābhārata on Indic literature.,,subject:indic_literature
/works/OL18569968W,The social and the symbolic,Bernard Bel,2007,"Ethnopsychology; Social life and customs; Cognition and culture; Symbolic anthropology; Communication and culture; History and criticism; Social participation; Manners and customs; Lobbying; History; East Indian Americans; Politics and government; Indic literature; Indic literature, history and criticism; India, social life and customs",,https://covers.openlibrary.org/b/id/13275703-M.jpg,subject:indic_literature
/works/OL18562886W,1857 and after,"International IACLALS Conference on 1857 and After: Colonialism, Violence, and Literature (2007 Dept. of English, Banaras Hindu University)",2009,Indic literature; Congresses; History and criticism; Nationalism in literature; History; Literature and the rebellion,,,subject:indic_literature
/works/OL1051475W,Āścaryacūḍāmaṇi,Śaktibhadra,1956,Drama; Rāma (Hindu deity); Sanskrit drama; Indic literature,,,subject:indic_literature
/works/OL8303768W,Literary Cultures in History,Sheldon Pollock,2003,"Indic literature; History and criticism; Politics and literature; Literature and society; History; Indic literature, history and criticism",,https://covers.openlibrary.org/b/id/1266269-M.jpg,subject:indic_literature
/works/OL18598878W,Literature of resistance,"G. K. Das, Sushma Arya, International Seminar on '1857 in the Literary Imagination' (2007 Yamuna Nagar, India)",2009,"Indic literature (English); Congresses; Revolutions in literature; Indic literature; Literature and the rebellion; History and criticism; History; Revolutions in literature -- Congresses; Indic literature -- History and criticism -- Congresses; India -- History -- Sepoy Rebellion, 1857-1858 -- Literature and the rebellion -- Congresses",Papers presented at an international seminar on 1857 Sepoy rebellion held in December 2007.,,subject:indic_literature
/works/OL18706465W,In search of Sita,"Malashri Lal, Namita Gokhale",2009,Indic literature; Sītā (Hindu deity) in literature; History and criticism; Indo-iranian philology; In literature,,,subject:indic_literature
/works/OL905004W,The wisdom of India,"Lin, Yutang",1942,Indic literature; Translations into English; Sacred books; English literature; Translations from Indic,,,subject:indic_literature
/works/OL10711311W,Histoire de la littérature hindoui et hindoustani,Joseph Héliodore Sagesse Vertu Garcin de Tassy,1839,History and criticism; Hindi literature; French literature; Urdu literature; Indic literature; Translations into French; Translations from Indic; Hindustani literature,,https://covers.openlibrary.org/b/id/6038745-M.jpg,subject:indic_literature
/works/OL18255916W,The penguin new writing in India,"Aditya Behl, Nicholls, David",1994,"Indic literature; Translations into English; Indic literature (English); Literary collections; Indic literature, translations into english; Indic poetry; Indic Short stories","Contributors to the Penguin New Writing in India include well-known names - Amrita Pritam, Satyajit Ray, Shashi Tharoor - alongside distinctive new voices, in a volume that combines the perspective of an anthology with the pioneering freshness of a literary magazine.

Modern classics, such as Mahadevi Varma's famous 1930s essay on feminism, poems by Vinda Karandikar and Sitakanta Mahapatra, a wonderful 'hunger strike' satire by Harishankar Parsai, provide a sense of the varied traditions out of which the bright younger talents in this collection have emerged.

Social and cultural diversity are keynotes and the quality of the translations, drawn from thirteen major subcontinental languages, bears witness, not least, to the great vitality of India's contemporary literary scene.",https://covers.openlibrary.org/b/id/98572-M.jpg,subject:indic_literature
/works/OL17711366W,Modern Indianshort stories,"Saros Cowasjee, Shiv K. Kumar",1983,"Novels, other prose & writers; India; Indian Literature In English; English; Indic literature; Fiction, short stories (single author)",,https://covers.openlibrary.org/b/id/7986372-M.jpg,subject:indic_literature
/works/OL7096609W,Vedanta,Clive Johnson,1971,English literature; Indic literature; Literary collections; Translations from Indic literature; Translations into English; Translations,,,subject:indic_literature
/works/OL2393818W,Geschichte der altindischen Literatur,Klaus Mylius,1988,History and criticism; Sanskrit literature; Pali literature; Jaina literature; Vedic literature; Indic literature; General & Comp. Religion; SEL Library selection,,https://covers.openlibrary.org/b/id/8653955-M.jpg,subject:indic_literature
/works/OL1628612W,Three plays,Badal Sarkar,1983,Indic drama; Indic literature,,https://covers.openlibrary.org/b/id/15079512-M.jpg,subject:indic_literature
/works/OL9412741W,"""Daily Telegraph"" Bowls Year Book",Donald Newby,1989,Indic literature; Translations into English,,,subject:indic_literature
/works/OL18207229W,Same-sex love in India,Ruth Vanita,2000,"Homosexuality; Indic literature (English); Love; Indic literature; Translations into English; Literary collections; Homosexualité; Littérature indienne (de l'Inde); Anthologies; Dans la littérature; Traductions anglaises; Thèmes, motifs; India, social conditions; Homosexuality, political aspects; India, social policy","""Same-Sex Love in India presents a stunning array of writings on same-sex love from over 2000 years of Indian literature. Translated from more than a dozen languages and drawn from Hindu, Buddhist, Muslim, and modern fictional traditions, these writings testify to the presence of same-sex love in various forms since ancient times.""--BOOK JACKET.",https://covers.openlibrary.org/b/id/10214303-M.jpg,subject:indic_literature
/works/OL19122190W,Traveller's literary companion to the Indian sub-continent,Simon Weightman,1995,Indic literature; Indic Authors; History and criticism; Southeast Asian literature; In literature; Description and travel,,https://covers.openlibrary.org/b/id/5354724-M.jpg,subject:indic_literature
/works/OL27756760W,Die Literatur des alten Indien,Hermann Oldenberg,1903,Indic literature; History and criticism,,https://covers.openlibrary.org/b/id/12814994-M.jpg,subject:indic_literature
/works/OL18223299W,Handbook of twentieth-century literatures of India,Nalini Natarajan,1996,"Indic literature; Intellectual life; Indic literature (English); Handbooks, manuals; History and criticism; Indic literature, history and criticism; India, intellectual life; English literature, indic authors",,https://covers.openlibrary.org/b/id/1172271-M.jpg,subject:indic_literature
/works/OL905003W,The wisdom of China and India,"Lin, Yutang",1942,"Translations into English; Sacred books; Chinese literature; Indic literature; English literature; Translations from Chinese; Literary collections; Translations from Indic languages; Translations from Indic; Literatura; Filosofia Oriental; Filosofia; Sacred books (Selections: Extracts, etc.)","Here, translated ""are the best of the sacred books of Hinduism, Confucianism, Buddhism and Taoism. Lin Yutang has used the best translations whereverpossible and, in many cases, has made new translations of his own. His new introduction, his collection of parables and sayings, and his glossary of Hindu and Chinese terms are important features of the book.""",https://covers.openlibrary.org/b/id/9419166-M.jpg,subject:indic_literature
/works/OL4598254W,Partition Dialogues,Alok Bhalla,2006,"Partition, Territorial, in literature; Indic Novelists; Interviews; History and criticism; Indic literature; Pakistani literature; Pakistani Novelists; History; Indic literature, history and criticism; Authors, indic; Authors, asian; Fiction, history and criticism","Interviews with seven Indian and Pakistan novelists on depiction of Indian Partition, 1947 in their fictional works.",https://covers.openlibrary.org/b/id/5389904-M.jpg,subject:indic_literature
